职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
经济商务老师,1.5-2.5万·13薪,广州,2年及以上,本科,新哲教育发展（深圳）有限公司,教育/培训/院校,民营,500-1000人,五险一金;餐饮补贴;绩效奖金,经济学;商务;ap经济学;经济学老师;经济学教师;年终奖金;专业培训;定期体检,
金融专员,6千-1.2万,六安·霍山县,无需经验,本科,安徽迎驾集团股份有限公司,快速消费品(食品、饮料、化妆品),民营,10000人以上,五险一金,excel;金融;会计;经济;统计;wind;投资;市场动态;财务数据;资本市场;定期体检;专业培训,
管培生（法学、经济学）,7千-1.2万·14薪,东莞·高埗镇,无需经验,本科,广东建业检测技术有限公司,检测，认证,民营,150-500人,,法学应届生;经济学应届生;土木应届生,
国际高中经济老师,1.3-2.5万,上海·嘉定区,1年,本科,上海天华进修学院,教育/培训/院校,非营利组织,1000-5000人,五险一金;绩效奖金;节日福利;带薪年休假,教师;高中;讲师;经济;IGCSE;ALEVEL;AP;员工旅游,
双语经济老师,1-2万,武汉·黄陂区,1年及以上,本科,上海雅力信息科技有限公司,教育/培训/院校,民营,未知,五险一金;绩效奖金,专业培训;双休;定期体检;员工旅游;寒暑假,
经济研究人员,7千-1.4万,上海·黄浦区,无需经验,硕士,上海福卡经济预测研究所有限公司,学术/科研,民营,50-150人,五险一金;绩效奖金,员工旅游;年终奖金;定期体检,
经济学与商业研究老师,1.5-2.5万,深圳·南山区,2年及以上,本科,深圳前海坎特伯雷国王外籍人员子女学校,教育/培训/院校,非营利组织,150-500人,五险一金;住房补贴,Alevel;Economics;Business;Accounting;周末双休;学校食堂;寒暑假期;西方假期,
高中商业及经济学教师（IBDP）,1.2-1.8万·13薪,上海·松江区,3年及以上,本科,上海民办包玉刚实验学校,教育/培训/院校,外资（欧美）,150-500人,五险一金;补充医疗保险,高中商业;高中经济学;IBDP;周末双休;专业培训;定期体检;培训;宿舍;寒暑假,
研究助理 - 海洋经济发展研究所,1-1.5万,深圳·龙岗区,无需经验,硕士,深圳数据经济研究院（香港中文大学（深圳）数据经济研究院）,学术/科研,事业单位,少于50人,五险一金,数据分析;数据可视化;计算机科学;金融经济;学术报告;建模分析;海洋经济;海事产业;双碳政策;绿色金融,
高中A-Level/AP 经济学/商科教师,1.2-2.4万,杭州·临平区,2年及以上,本科,杭州橄榄树学校,教育/培训/院校,非营利组织,150-500人,五险一金,班主任;英语;学科教研;监考;a_level;全英文授课;igcse;国际学校;国际高中;国际课程;专业培训,
双语经济学老师,1.3-2.5万,上海·宝山区,1年及以上,本科,上海民办行中中学,教育/培训/院校,民营,150-500人,五险一金;交通补贴;绩效奖金,教学;a_level;ap;国际课程教学;组织教学;学生管理;免费班车;专业培训;出国机会,
AP经济学老师-瑞安中学国际部,8千-1.2万·13薪,温州,无需经验,本科,上海日月光华教育投资有限公司,教育/培训/院校,民营,150-500人,五险一金;补充医疗保险,英语;教师;经济学;国际教育;ap经济学;英语表达;国际课程;双语老师;教学;员工旅游,
经济研究人员,7千-1.4万,上海·黄浦区,无需经验,硕士,上海福卡经济预测研究所有限公司,学术/科研,民营,50-150人,五险一金;绩效奖金,员工旅游;年终奖金;定期体检,
经济学与商业研究老师,1.5-2.5万,深圳·南山区,2年及以上,本科,深圳前海坎特伯雷国王外籍人员子女学校,教育/培训/院校,非营利组织,150-500人,五险一金;住房补贴,Alevel;Economics;Business;Accounting;周末双休;学校食堂;寒暑假期;西方假期,
高中商业及经济学教师（IBDP）,1.2-1.8万·13薪,上海·松江区,3年及以上,本科,上海民办包玉刚实验学校,教育/培训/院校,外资（欧美）,150-500人,五险一金;补充医疗保险,高中商业;高中经济学;IBDP;周末双休;专业培训;定期体检;培训;宿舍;寒暑假,
研究助理 - 海洋经济发展研究所,1-1.5万,深圳·龙岗区,无需经验,硕士,深圳数据经济研究院（香港中文大学（深圳）数据经济研究院）,学术/科研,事业单位,少于50人,五险一金,数据分析;数据可视化;计算机科学;金融经济;学术报告;建模分析;海洋经济;海事产业;双碳政策;绿色金融,
高中A-Level/AP 经济学/商科教师,1.2-2.4万,杭州·临平区,2年及以上,本科,杭州橄榄树学校,教育/培训/院校,非营利组织,150-500人,五险一金,班主任;英语;学科教研;监考;a_level;全英文授课;igcse;国际学校;国际高中;国际课程;专业培训,
双语经济学老师,1.3-2.5万,上海·宝山区,1年及以上,本科,上海民办行中中学,教育/培训/院校,民营,150-500人,五险一金;交通补贴;绩效奖金,教学;a_level;ap;国际课程教学;组织教学;学生管理;免费班车;专业培训;出国机会,
AP经济学老师-瑞安中学国际部,8千-1.2万·13薪,温州,无需经验,本科,上海日月光华教育投资有限公司,教育/培训/院校,民营,150-500人,五险一金;补充医疗保险,英语;教师;经济学;国际教育;ap经济学;英语表达;国际课程;双语老师;教学;员工旅游,
DSE高中经济学教师(J10013),1.5-3万,广州·天河区,3年及以上,本科,广州暨大港澳子弟学校,教育/培训/院校,民营,150-500人,五险一金;补充医疗保险;带薪年假,教学;管理;教研;教师资格证;教育;授课;教学方案;家校沟通;辅导;粤语,
AP双语经济学老师（国际高中）,1.4-2.4万,广州,2年及以上,本科,广州市黄埔区华外同文外国语学校,教育/培训/院校,非营利组织,500-1000人,五险一金;餐饮补贴;节日福利;通讯补贴,专业培训;年终奖金;员工旅游;定期体检;出国机会;周末双休;寒暑假,
经济学/财商老师,1.2-1.8万·13薪,广州·南沙区,无需经验,本科,行知青藤留学咨询（广州）有限公司,教育/培训/院校,民营,150-500人,,教学;备课;教育;教学计划;授课;金融;经济学;资金运作;股票操盘;财商,
国际课程教师（alevel数学/物理/化学/经济学老师）,1.2-2.4万,苏州·相城区,1-3年,本科,上海青浦平和双语学校,教育/培训/院校,民营,未知,,教学;双语授课,
高中经济学老师（双语）,1-1.8万,上海·宝山区,1年及以上,本科,希奕际教育科技（上海）有限公司,教育/培训/院校,合资,50-150人,五险一金,经济;alevel/igcse;免费班车;定期体检;工作午餐,
A-level经济老师,1-1.5万,中山·石岐区,无需经验,本科,中山市中港英文学校,教育/培训/院校,民营,50-150人,,教学;教育;教学计划;金融;经济;教学质量;a_level;课程体系;个性化辅导;课程内容开发,
IG/A-level 经济老师 (MJ002594),1-2万,青岛,3年及以上,硕士,青岛市市南区宏文外语学校,教育/培训/院校,民营,少于50人,五险一金;交通补贴;餐饮补贴,免费班车;专业培训;出国机会;年终奖金,
IFD经济/商业双语教师,1-1.5万,南京·浦口区,2年及以上,硕士,南京汉开书院学校,教育/培训/院校,非营利组织,500-1000人,五险一金;餐饮补贴,备课;家校沟通;经济;辅导;igcse;全英文教学;ncc;IFD;商业;A-level;专业培训,
